date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-05-02,825014,666126,Carlos Cortes,ATH,CLE,H,5,True,,4.15,L,R,1,1,1,0,0.7663551401869159,1,0.5294117647058824,2.0,0,2,-328,Carlos Cortes,draftkings,-208,155,2026-05-02T18:08:07.927482+00:00,0.1347951114306254,True,4:05 PM ET,hit,2,0.4807692307692308,0.9615384615384616
2026-05-02,823388,663647,Ke'Bryan Hayes,CIN,PIT,A,9,True,,3.8,R,R,0,1,1,0,0.6679160419790104,0,0.238095238095238,1.0,1,12,-201,Ke'Bryan Hayes,draftkings,-145,109,2026-05-02T18:08:07.927482+00:00,0.1285477950679832,True,4:05 PM ET,miss,0,-1.0,-1.0
2026-05-02,822746,650859,Luis Rengifo,MIL,WSH,A,6,True,,4.1,L,L,0,1,1,0,0.7565938206480783,0,0.2631578947368421,1.0,0,5,-311,Luis Rengifo,draftkings,-207,154,2026-05-02T18:08:07.927482+00:00,0.1220980818307248,True,4:05 PM ET,hit,1,0.4830917874396135,0.4830917874396135
2026-05-02,823388,664040,Brandon Lowe,PIT,CIN,H,2,True,,4.45,L,R,1,1,1,0,0.7565938206480783,0,0.2272727272727272,1.0,0,5,-311,Brandon Lowe,draftkings,-208,155,2026-05-02T18:08:07.927482+00:00,0.1203408498058083,True,4:05 PM ET,hit,1,0.4807692307692308,0.4807692307692308
2026-05-02,823388,687462,Spencer Horwitz,PIT,CIN,H,7,True,,3.95,L,R,1,1,1,0,0.6638297872340425,0,0.1666666666666666,1.0,0,5,-197,Spencer Horwitz,draftkings,-146,110,2026-05-02T18:08:07.927482+00:00,0.1185077236957154,True,4:05 PM ET,hit,2,0.684931506849315,0.684931506849315
2026-05-02,823388,656811,Ryan O'Hearn,PIT,CIN,H,4,True,,4.25,L,R,1,1,1,0,0.7663551401869159,0,0.24,1.0,0,5,-328,Ryan O'Hearn,draftkings,-218,162,2026-05-02T18:08:07.927482+00:00,0.1178941953185286,True,4:05 PM ET,hit,2,0.45871559633027525,0.45871559633027525
2026-05-02,824771,694728,Brice Matthews,HOU,BOS,A,7,True,,4.0,R,L,1,1,1,0,0.6679160419790104,1,0.3181818181818182,2.0,0,2,-201,Brice Matthews,draftkings,-115,-115,2026-05-02T18:08:07.927482+00:00,0.2487126002216282,True,4:10 PM ET,hit,2,0.8695652173913043,1.7391304347826086
2026-05-02,824771,701358,Cam Smith,HOU,BOS,A,8,True,,3.9,R,L,1,1,1,0,0.7565938206480783,0,0.0952380952380952,1.0,0,2,-311,Cam Smith,draftkings,-164,123,2026-05-02T18:08:07.927482+00:00,0.2179315161651993,True,4:10 PM ET,hit,1,0.6097560975609756,0.6097560975609756
2026-05-02,824771,701350,Roman Anthony,BOS,HOU,H,3,True,,4.35,L,R,1,1,1,0,0.7565938206480783,0,0.217391304347826,1.0,0,3,-311,Roman Anthony,draftkings,-185,139,2026-05-02T18:08:07.927482+00:00,0.1655634534308234,True,4:10 PM ET,hit,1,0.5405405405405406,0.5405405405405406
2026-05-02,824771,514888,Jose Altuve,HOU,BOS,A,5,True,,4.2,R,L,1,1,1,0,0.8075040783034257,0,0.1818181818181818,1.0,0,2,-419,Jose Altuve,draftkings,-231,171,2026-05-02T18:08:07.927482+00:00,0.1570729433698438,True,4:10 PM ET,hit,1,0.4329004329004329,0.4329004329004329
